"Recommendation_1","Recommendation_2","Recommendation_3","Recommendation_4","Recommendation_5","Recommendation_6","Recommendation_7","Recommendation_8","Recommendation_9","Recommendation_10"
"0345339703","0375727345","0380727501","0553274295","0553296981","0062502182","0375703861","039592720X","044022165X","0679446486"
"0091867770","0060512822","0449005615","0375506276","0440414806","0684857820","0425179613","0446530522","0812550706","0425182878"
"0449912558","0439064872","0446391301","0375500510","0345361792","1400032717","0316969680","0451191145","0060987561","0451176464"
"0385335881","038550120X","0373484003","043935806X","0345339681","0060987561","0684814994","0449213943","0060929871","0060938455"
"0385424728","0440220602","0446605239","0452281903","0743224574","1931561648","0140177396","0061097861","038548951X","0446605484"
"0142004235","006092988X","0062502182","0312976275","0440206154","0786868716","0312980140","0449005615","0345413903","0140179836"
"0064407675","0345417623","0743437640","0151008116","0345438329","0375400117","068484477X","0312195516","0316769487","0345353145"
"1573229571","0553213105","0671027581","0671758896","055321313X","038082101X","0553574574","0804114986","0099771519","0446607657"
"0345417623","0345353145","0375725849","0439136369","0439139597","0553273914","0877017883","055321313X","0441003257","0345342968"
"0316096199","0553274295","0385722192","0525947647","0345465083","0060512822","0446310786","0425179613","0446530522","0452283205"
"0393317552","0553213148","0671027387","0060391626","0375756981","0451176464","0553208845","0553278355","0375504397","0060987561"
"0451169530","006092988X","0345350499","0375706771","0375703055","0425152251","0452283442","0552996181","0140280553","0553274295"
"0385504209","0440223202","0345416260","0670894605","0452282152","006019491X","0688177859","0142000205","006092988X","0446678457"
"0553213105","1573229571","0345339703","0375727345","0380727501","0373484003","0060934417","0684874350","0688177859","0671027581"
"0385722192","0060938455","055321313X","059035342X","0671617028","0440236738","0345339703","0345339711","0345339738","0385729332"
"0142004235","0553250426","0440236738","0375725849","0316781010","0684857820","0679781587","0064472272","0312199430","0440219078"
"0064401847","0440180295","0345339703","044021145X","0440211727","044022165X","0446364193","0743467523","0316089699","0385475721"
"0894803204","0345339703","0380727501","0671617028","0316781010","0553250426","0380018179","0060926317","0385504209","0440215625"
"0812550706","1592400876","0061097101","0440211727","0140177396","0061015725","0064407667","0380018179","0385730586","0140067477"
"0064407667","0064407675","0446608955","0684853507","0440215625","0451142934","0451166582","0812511816","0452282152","0684801221"
"0060930187","0385492081","0553250426","0451526341","0553213148","0671727796","0345465083","0142004235","0375506276","0440414806"
"0446310786","0553274295","0679781587","0553562614","0312422156","0385265700","0670032379","0743418174","0805063889","0446605239"
"044021145X","044022165X","0441005489","0446364193","0743467523","0061015725","0380018179","0385730586","0441172717","0553573403"
"0060938455","0345348109","0441172717","0060915544","0446527793","0375412824","0385503857","0312199430","0786885688","080410753X"
"0446606189","0671042262","0446610399","0316777730","0894808249","0345348109","0441172717","0375703055","0425179613","0446530522"
"0449212602","0064400557","0553250426","0316168688","0684801221","080410753X","0375412824","0385503857","0446532452","0671027387"
"0553268880","0060512822","0684874350","0345353145","0345339711","0345339738","0446310786","055321313X","0553213148","080410753X"
"0375703764","0688177859","0684814994","0064400557","0142004235","0316781010","0553250426","0312980140","0312983867","0449223604"
"0671042262","0385484518","0440221471","0451160525","0316769487","0440213525","0553280414","080410526X","015100692X","0446365386"
"0842342702","0385420161","0345361792","0553289411","0446606812","0515121843","0515122734","0515126772","0515128554","0618129022"
"0441003257","0618002227","0060938455","0451526341","0553213148","0671727796","055321313X","0156027321","0375725849","0345339711"
"0140179836","0060199652","0060391626","0446391301","0345353145","0439136369","0439139597","0091867770","0330375253","038531258X"
"0440498058","059035342X","0380813815","0099387913","0679735909","0142004235","0446364193","0316776963","0671027387","0140280553"
"0440498058","0061009059","0312971346","0312976275","0671014196","089480829X","0064407675","0345384369","0345384466","0345444884"
"0451526341","0142004235","0452282152","0679745203","0684872153","0440241073","0671004107","0345348109","0316769487","0671617028"
"0446608955","0425169693","0440221471","0451160525","0684853507","014028009X","0525946829","0440241073","0142004235","0316781010"
"0679444815","0312980140","0440236053","0446611778","0446611921","0451204530","0553582755","0060929871","0064407667","0064407675"
"0671042262","0385484518","0553274295","0345339738","0060930187","0446310786","0451169530","0446675059","0380002930","0451526341"
"0671003755","068483376X","0156027321","0345361792","0316096199","0060987561","0064400557","0446532231","0446606812","0553272535"
"0446310786","0553274295","068484477X","0385498802","0345416260","0670894605","0385265700","0743418174","0805063889","0062502182"
"0140042393","0385479565","0440967694","0451169530","0609804138","0679723161","0804105820","0894803204","0374199698","0380002930"
"0385721420","0449005615","0446310786","0375756981","0449911519","0375506276","0440414806","0684857820","0064407675","0345339681"
"0345444884","0399501487","0440108268","0679735909","0804114986","0446604801","0804105820","014100018X","0312265859","0312265867"
"0671021001","0553274295","0446679593","0553573403","0451142934","0439136369","038082101X","0553574574","0060096195","0345416260"
"080410526X","0671021001","0440211727","0399501487","0451526341","0804108749","0553574574","0804114986","0553272535","0345391810"
"044022165X","0441005489","0446364193","0743467523","0440439884","0385509510","140003065X","0440211727","0061015725","0385730586"
"0802139256","0060987103","0380813815","038548951X","0446605484","0553348981","1592400876","0449213943","0553274295","0553562614"
"0345348036","0440108268","0451160525","0679735909","0804105820","0316969443","0743225082","0743439740","076790592X","0140067477"
"044022103X","0060930187","0451169530","0316168815","0345465083","0380710218","068484267X","0060926317","0312199430","0786885688"
"0312990456","0060929871","0060938455","0375700757","0553348981","0060391626","0345361792","068484267X","0385420161","0385479565"
"0312291639","0440219078","0446605239","0452281903","0590353403","0743224574","0743227441","1931561648","0440215625","0451166582"
"0385509510","0618002227","140003065X","0060929790","014100018X","0312274920","0316168688","0380718340","0385484518","0446525502"
"0060915544","080410753X","037570504X","0446610399","0894803204","089480829X","0380002930","0451526341","055321313X","0553213148"
"0060987561","0894803204","089480829X","0451167716","0375725849","0679731148","0804111359","1573228214","043935806X","038082101X"
"0525946829","0451142934","0451163524","0451166582","0553580191","0812511816","0345465083","0771060548","0446520802","0446527793"
"0671021001","0440225701","0440241073","0064400557","0316781010","0316781266","038572179X","0425179613","0446530522","0452283205"
"0671042262","0060930535","0446611808","0142001430","038572179X","0440212561","0440215625","0440223202","0440235596","0446310786"
"0142001740","0671729411","0060934417","0310205719","0345339681","0385484518","0440224764","0446606812","0515122734","0618129022"
"0446610399","0440225701","0440241073","0671004107","0064400557","0142004235","0805063897","0553250426","0684872153","0446310786"
"0060199652","0060391626","0446391301","0375412824","0385503857","0312976275","0312980140","0446532452","0449005615","0671027387"
"0099387913","1592400876","0451166892","067168390X","0553580191","0425115801","0451156609","0671758896","0439064864","0439139600"
"0064471047","0440439884","0385420161","0385479565","0394820371","0671729411","0316969443","0345342968","0385484518","0312265859"
"0767905180","0345339703","0375727345","0671038443","006092988X","0062502182","0375703861","0446611921","0349101779","0441569595"
"0316168688","0345361792","0312305060","0552996009","0552998486","0061097101","014100018X","0312265859","0312924585","038529929X"
"0140067477","0441172717","006019491X","0399144463","0515131229","0060930187","080410526X","0142004235","0345339703","0440940001"
"0316168815","044021145X","0440211727","044022165X","0441005489","0446364193","0743467523","1592400876","0140067477","0380813815"
"0380727501","0743437640","0671011367","0441172717","0451160525","0451190491","0684853523","0452282152","0446606189","0446607657"
"0553289411","0316779423","0375756981","0449911519","0316168815","0345465083","0380710218","068484267X","0060976845","0399148639"
"0060987561","0842329250","0446610038","043935806X","038082101X","0553574574","0804114986","0142002267","0312265867","0312980140"
"1400032717","0064401847","0440180295","0441005489","0441790348","0060934417","0440212561","0060929871","0064407675","0312924585"
"0449005615","0345427637","0440414806","0684857820","0375725849","0061097101","0385484518","0440211727","0312305060","0446670251"
"0671617028","0440215625","0451142934","0553580191","0812511816","0060938455","0316168815","0380710218","0451151259","0804108749"
"0671041789","0393317552","0060512822","0684874350","0385484518","0679781587","0425132048","0446310786","0446364800","0743418174"
"0452269571","043935806X","0743437640","0142001740","0375706410","0553272535","0316693006","0425189031","0345416260","0446606189"
"0345438329","0345445848","0441172717","0804114986","006000438X","0060934417","0060987103","0312144075","0312265867","0312282990"
"0385721420","0449005615","0553274295","068484477X","0393317552","0894803204","089480829X","0385484518","0440215625","0451142934"
"0385492081","0441304834","0786867647","043935806X","0060976845","0312291639","0679731725","0316603287","0345413350","0451205421"
"0684801523","0842342702","0060391626","0375756981","0451176464","0553208845","0804105820","006000438X","0060934417","0060987103"
"0375412824","0061015725","0380018179","0385730586","0140067477","0380813815","039480001X","0394820371","0440498058","0440998050"
"0671011367","0771060548","0060391626","0316969680","044651652X","0385504209","0440213525","0671001795","0671027360","067168390X"
"0440222656","044022103X","0441790348","0385492081","0385335881","0767905180","0345313860","0767907817","038550120X","068484477X"
"0679723161","0684801221","0894803204","0451163524","0451166582","0553580191","0812511816","0345444884","0385492081","0064407675"
"0684857820","0345366239","0380813815","0345339703","0345339738","0451190491","0684853523","0440439884","0385505833","0452266564"
"0671021001","0060987561","0142001805","0064400557","0142004235","0553250426","0375725849","038082101X","0553574574","0804114986"
"0070212570","0373250126","0446310786","0553280414","080411868X","1400031354","0385504209","0451169530","059035342X","0345339703"
"0142004235","006092988X","0062502182","0312976275","0440206154","0786868716","0312980140","0449005615","0345413903","0140179836"
"044022103X","0060930187","0451169530","059035342X","0380813815","0142004235","0446364193","0140280553","0345465083","0446310786"
"0446606189","0671041789","0671042262","0316777730","0525947647","0345348109","0441172717","0440211727","0060930535","0312199430"
"0553274295","0679781587","068484477X","0894803204","089480829X","0446310786","0060930535","0312422156","0385265700","0805063889"
"0060915544","0446608955","0684853507","038531258X","0385722435","0767900383","0451142934","0064407667","0064407675","044022165X"
"0553268880","0385474547","0553375407","052594527X","068484267X","1857022424","0345342968","0425107469","0316678104","0375727345"
"0671042262","0439136369","0771060548","014100018X","0312924585","0312980140","0316096199","0345361792","038529929X","0446606812"
"014131088X","0061097861","0375760911","0385509456","0618002219","0345339681","0345444884","0385492081","0439136350","0439139597"
"1573229571","0553289411","0440215625","0451142934","0451166582","0812511816","0385492081","0441304834","0345339681","0060938455"
"0446608955","0684853507","044651652X","0060920084","0091867770","0330262130","0330375253","0380727501","0446610100","0375412824"
"0375703764","0446610399","0688177751","0440998050","0812511816","0140293248","0140298479","0440211727","0441005489","0743467523"
"0684857820","0439136369","0345416260","0670894605","0060987561","0385505833","0452266564","0140280553","0156027321","0553574574"
"0385335881","0425162443","0452269571","0375703764","0312291639","0385424728","0440219078","0440220602","0452281903","0670032379"
"0380813815","0385479565","0609804138","0679723161","080410526X","0804105820","0894803204","059035342X","0380002930","0553262505"
"0060920084","0091867770","0330262130","0380727501","0380977788","1573225517","0140280553","0156027321","0345465083","0446310786"
"0441005489","0446364193","0743467523","0811825558","0061015725","0380018179","0385730586","0140067477","0380813815","039480001X"
"0452264464","0345366239","0375703764","0525946829","0140177396","039592720X","0345465083","0440225701","0671004107","068483376X"
"0345361792","0441003257","0451160525","0451190491","0684853523","0142000663","0061015725","0385492081","0385509456","0440180295"
"0446608955","0684853507","0345444884","0399501487","0684801523","0345369947","0316769487","044651652X","080410753X","014100018X"
"0345417623","0440215625","0451142934","0451163524","0451166582","0553580191","0812511816","0439136369","0060929790","0345353145"
"0345339738","0877017883","0345465083","0525947647","0060929790","0380813815","038531258X","0385722435","0767900383","1592400876"
"0375703764","0553208845","0380813815","0060188731","0060934417","0156528207","0312282990","0380727501","0440498058","0553211404"
"0140067477","0441172717","0671011367","0060987561","0399144463","0440414806","0446605409","080410526X","0151008116","0440236738"
"0345366239","0375703764","0440940001","0380018179","0380813815","038548951X","067168390X","0385492081","0399501487","0451526341"
"0385504209","0310205719","0345339681","0385484518","0440224764","0618129022","0670865796","0440439884","0440241537","155874262X"
"0446606189","0671041789","0671042262","0671776134","0060512822","0312199430","0786885688","0446672211","0099771519","0312924585"
"0449212602","0060512822","0446520802","0446679593","0345416260","0670894605","080410753X","0375703861","0064471047","059035342X"
"0060915544","080410753X","0345447840","059035342X","0385504209","0345339681","0440215625","0451142934","0451163524","0451166582"
"0671038443","0316693006","0060928336","0142001740","0684835983","0142002267","0345445848","0446609404","1400034779","0440223202"
"0380813815","0446605484","0345465083","0802130208","0446310786","0452282152","0684874350","0142001740","0446610038","1573225789"
"0385721420","0449005615","0446608955","0894803204","0439136369","0440215625","0451142934","0451163524","0451166582","0553580191"
"0385721420","0449005615","0553274295","068484477X","0393317552","0894803204","089480829X","0385484518","0440215625","0451142934"
"0671011367","0060502258","0061097101","0060512822","0060930535","0345337662","0440213525","0671001795","0671027360","067168390X"
"0142001740","0743460529","0441790348","0425182878","0671027387","0590353403","1558745157","080410526X","0804105820","0440439884"
"0440498058","0142001805","0345465083","0375706771","0385512104","0671027360","0330262130","0684833395","0767905180","0446672211"
"0142001740","0385424728","0440219078","0440220602","0446605239","0452281903","0590353403","0743224574","0743227441","1931561648"
"0452282152","0679745203","0684872153","080410526X","0440215625","0812511816","0440241073","0671004107","055321313X","0553213148"
"0671617028","0440215625","0451142934","0553580191","0812511816","0060938455","0316168815","0380710218","0451151259","0804108749"
"0142004235","1592400876","0061097101","0553274295","0553296981","0142000663","0345339703","0441172717","0805062971","0345334531"
"1400031346","0767905180","1573225789","0688177859","0060987561","0440998050","0385504209","038082101X","0553574574","0312278586"
"0060928336","0515131229","0385484518","0684195984","068484267X","0805063897","0684872153","0440223202","0316601950","0446610100"
"0060512822","0446520802","0446679593","0345427637","0140280553","0345465083","038548951X","0393317552","0375702709","0312421273"
"0425169693","0345348109","0140177396","0684853507","0689817851","0385492081","0449213943","0156528207","0553274295","0553296981"
"0684853507","0380018179","0385730586","055321313X","0064407667","0553258001","0802139256","0151008116","0374199698","0446310786"
"0671038443","0064401847","0440180295","0441005489","0441790348","0413537900","0553274503","0553579754","044022165X","0316666343"
"0142004235","0452282152","1592400876","0061097101","0156528207","0553274295","0553296981","0446670251","0142000663","0805062971"
"0060916508","0064400557","0142004235","0553250426","0156528207","0553274295","0091867770","0312422156","0345348036","0385509456"
"0439136369","0671027573","0375705856","0671027387","0446520802","0446611808","0671034006","0312274920","0375506039","039592720X"
"0440225701","0440241073","0671004107","0553572997","0064400557","0316781010","0553250426","0446605484","0316601950","1592400876"
"0440215625","0451163524","0553580191","0380813815","038531258X","0385722435","0767900383","0446310786","0310205719","0440224764"
"0385721420","0449005615","0425189031","0316168688","0345427637","0440414806","0684857820","0440439884","0142001740","0440215625"
"0440998050","0060915544","080410753X","155874262X","0671011367","0385484518","0451160525","0671003755","0312924585","0345384466"
"0140067477","0441172717","0684801523","0399144463","0515131229","0425122123","0449002632","0515132020","051513287X","0670880728"
"0441790348","0894803204","089480829X","0451167716","0142001430","1558745157","0385479565","0060976845","0140179836","0743227441"
"0679723161","0684801221","0894803204","0451163524","0451166582","0553580191","0812511816","0345444884","0385492081","0064407675"
"0425169693","059035342X","0142004235","0316781010","0380002930","0451166892","0684853507","0689817851","0064400557","0553274295"
"0440215625","0451142934","0451163524","0451166582","0553580191","0812511816","0345370775","0425180964","0425132048","0743418174"
"0345361792","0441003257","0451160525","0451190491","0684853523","0142000663","0061015725","0385492081","0385509456","0440180295"
"0894803204","0451142934","0451163524","0451166582","0553580191","0812511816","0440223202","0064400557","0142004235","0316781010"
"0671617028","0440236738","0451151259","0451524934","0345339703","0345339711","0345339738","0684853523","0553258001","0590353403"
"0451526341","0671617028","0142001740","0451524934","0060391626","0060987561","0375756981","0553208845","0553278355","0385504209"
"0064407667","0064407675","0446608955","0684853507","0451160525","0440215625","0451142934","0451163524","0451166582","0553580191"
"0142004235","0375500510","0140177396","0439139597","0375725849","0804111359","1573228214","0552131059","0142001740","0449005615"
"034540288X","0688177751","0140293248","0140298479","0060928336","0515131229","0590353403","0312265840","0345339681","0345339738"
"0440222656","043935806X","0743437640","0142004235","0679745203","0684872153","0425147622","0452284449","0679781587","0767907817"
"0451526341","0440221471","0064471047","0451524934","0345384466","0449002632","0553348981","0375725849","0671880314","0671617028"
"0060930187","0451169530","1592400876","0385503954","0099387913","0380002930","044022103X","0312305060","1573229571","0679444815"
"0671617028","044022103X","0670865796","0670894605","1576737330","0553274295","0451151259","0451524934","0440439884","0451526341"
"0446602620","0385722192","0375400117","068484477X","0345392825","0385492081","0399501487","0446310786","0804108749","0142001740"
"0064472272","0345465083","1400031354","0312976275","0312980140","0440215625","0061015725","0064407667","0380018179","0385730586"
"0877017883","0451169530","0375703861","0452260116","0804114986","0440202043","0446610100","043935806X","0553279378","0385492081"
"0786867647","0142001740","0446611808","0345438329","0440212561","0446610399","0553296981","0385505833","1558745718","0380710218"
"0671042262","0312978367","0440414806","0446605409","0515122734","0440998050","0345361792","0439064872","0679720200","0345342968"
"0451142934","0451163524","0451166582","0553580191","0451160525","0451190491","0684853523","0441005489","0811825558","0142000663"
"0671021001","0440998050","0345361792","0060512822","0060987561","0440236738","0553208845","0684874350","0380728133","0380813815"
"0060916508","0553274295","0345348109","0894803204","089480829X","0140177396","039592720X","0452282152","0425147622","0446310786"
"0064401847","0440180295","0441790348","0553579754","0451151259","0671617028","0380813815","038531258X","0385722435","0767900383"
"0060928336","0609804138","1558745157","068483376X","0552131059","0312195516","0451169530","0449212602","0452282152","0316969443"
"0142004235","0345465083","0553572997","0064401847","0440180295","0441005489","0441790348","0440236738","1400031354","0679772677"
"0385721420","0449005615","0440414806","0684857820","0446310786","0609608444","0375412824","0385503857","0066214122","0812550706"
"0156027321","0449912558","0099387913","1592400876","0385722435","0066214122","0385509510","0618002227","140003065X","0812550706"
"0887307876","0142001740","0373218036","0446611808","0515136530","0671034006","3257229534","0345337662","0312983271","0515136379"
"0441790348","0842329129","0140298479","0670880728","0061009059","0312971346","0312976275","089480829X","0060391626","0060987561"
"0425147622","0060929871","0375700757","0553348981","0060958022","0385503954","0312971346","0440234743","0671011375","0142002267"
"0451526341","0671617028","0312291639","0440219078","0590353403","0743224574","0743227441","1931561648","0786868716","0345427637"
"0064407675","0446608955","0684853507","0312305060","0440215625","0451142934","0451166582","0553580191","0812511816","044651652X"
"0743237188","0553250426","0446609404","0142002267","0312265867","0345445848","0446607711","0553564528","1400034779","0553213105"
"0060987561","0671021001","0441790348","0345438329","0671038443","0609804138","0842329129","0060958022","0385503954","038082101X"
"0449212602","0142004235","0452282152","0670894605","080410753X","1592400876","0061097101","0156528207","0553274295","0553296981"
"0441790348","0142000663","0679723161","0684801221","0060929790","0345353145","0375725849","0439139597","0345342968","0553348981"
"0525947647","0446610100","068483376X","0151008116","006092988X","0062502182","039592720X","1400031346","0061097314","0070212570"
"0380002930","0553274503","0553579754","0553213148","0345384466","0385484518","0446605239","0385504209","0451156609","0316969680"
"0684857820","0345416260","0452266564","0786868716","0064471047","0140067477","0380813815","039480001X","0394820371","0440498058"
"0385492081","0441304834","0375703764","0375700757","0553348981","0140042393","0385479565","0440967694","0451169530","059035342X"
"0553579754","038548951X","0446605484","0380813815","0060929790","038531258X","0345392825","0399501487","0451526341","0804108749"
"0345342968","0553348981","0449219364","0449221482","0449221490","0515131229","0553280368","0553284789","0688170528","1551668998"
"0446310786","0345361792","0525947647","0028604199","0345348036","0440108268","0679735909","0804105820","0804114986","0451142934"
"0345413350","044900371X","089480829X","0060929790","0380813815","038531258X","0061097101","0451524934","015100692X","0385484518"
"0375504397","1400031346","006101351X","0440226430","0441172717","0312995423","0439136369","0439139600","043936213X","0446608890"
"0345447840","059035342X","0786868716","0064401847","0440180295","0441005489","0441790348","0671880314","0345391055","0373218400"
"0312291639","0385424728","0440219078","0440220602","0452281903","0590353403","0743224574","0786868716","1931561648","0060929871"
"0446606189","0671042262","089480829X","074322535X","0440225701","0440241073","0064400557","0142004235","0316781010","0671041789"
"0060391626","0142001740","0375500510","0743460529","0441790348","0142001430","1400031346","0553348981","014100018X","0312265859"
"0345366239","0375703764","0142004235","0316781010","0805063897","1592400876","0684848783","0449213943","0345339703","0345339738"
"0060915544","0385504209","0670032379","0671003755","0446601241","0553573403","0786868716","0553348981","0671729411","0060930535"
"0142001740","0385424728","0440220602","0452281903","0743227441","0786868716","1931561648","0440241073","0064400557","0142004235"
"044022103X","0064401847","0440180295","0441005489","0441790348","074343627X","0670894605","0091867770","0330262130","0330375253"
"0375707972","0440439884","0553562614","0684801221","0804114986","0142001430","0345416260","0345435249","0452283442","0875421180"
"044900371X","0441304834","0385265700","059035342X","0441172717","068483376X","006000438X","0060934417","0060987103","0312144075"
"0064407675","0684853507","0743437640","0440221471","0451160525","0064400557","0142004235","0316781010","0553250426","0679781587"
"0446605409","0515122734","0525947647","0842329129","0842329250","0375506276","0449005615","0385721420","0425174271","0446613266"
"037570504X","0060938455","0446310786","0553274295","0894803204","089480829X","0525947647","0877017883","0440225701","0064400557"
"0517122707","014028009X","0312422156","0446530522","0142001740","0385474016","0452264464","0688170528","0316603287","0345417623"
"0399143947","0440214041","0060929790","0439136369","0439139597","0553273914","0671880314","0060392452","0345348036","0440108268"
"0441304834","0446675059","0380012863","0385504209","0440220602","0446523569","0452282152","043935806X","0062502182","015100692X"
"0060915544","0385498802","0385504209","0670032379","0671003755","0316781266","038572179X","1400031346","0452282152","0345402871"
"0316666343","0399143947","0385508417","0440439884","0316168815","155874262X","0345334531","0446310786","055321313X","0553213148"
"0064407667","0064407675","0446608955","0684853507","044022103X","0684801523","1558531025","044651652X","0060929790","0380813815"
"0385504209","0842342702","080410526X","0804105820","0156027321","0440439884","0380717018","006092988X","0345350499","0375706771"
"0061015725","0064407667","0380018179","0385730586","055321313X","0316969443","0345361792","0743225082","0743439740","076790592X"
"0767905180","0316168815","0345348109","0441172717","0142004235","0446364193","0140280553","0345465083","0446310786","0802130208"
"0684857820","0671617028","038548951X","0446605484","0452266564","0345348036","0440108268","0451160525","0804114986","0345361792"
